"scenario","rho","method","method_family","tuning","mode","p","reference_mode","tv_mean","tv_se","fkl_mean","fkl_se","rkl_mean","rkl_se","q0_mean","q0_se","expected_code_mean","expected_code_se","active_kernels_001_mean","active_kernels_001_se","q_effective_kernels_mean","q_effective_kernels_se","n_kernels_mean","n_kernels_se","stored_atoms_mean","stored_atoms_se","objective_mean","objective_se","rmse_gap_mean","rmse_gap_se","logscore_gap_mean","logscore_gap_se","kkt_residual_mean","kkt_residual_se","runtime_sec_reference_mean","runtime_sec_reference_se","optimizer_iterations_mean","optimizer_iterations_se","objective_change_mean","objective_change_se","raw_candidates_mean","raw_candidates_se","key_deduped_candidates_mean","key_deduped_candidates_se","near_deduped_candidates_mean","near_deduped_candidates_se","reference_support_n95_mean","reference_support_n95_se","unique_supports_mean","unique_supports_se","ess_min_mean","ess_min_se","split_rhat_max_mean","split_rhat_max_se","n_replications"
"graph_community",0.7,"Posterior clustering","posterior clustering","clusters=8, beta=0.005","full",100,"mcmc_empirical_visited_supports",0.037378247638779,0.00130719940693923,0.00415102725772483,0.000458803919364141,0.00408848781155905,0.000409146032054502,0.782665439147038,0.0382183051793103,17.5501522558847,0.0686068834397965,13,0,2.79728481245651,0.376027053839385,13,0,NA,NA,0.0908913597251294,0.000288590091308732,-0.000452727578721465,0.000446697937145871,-0.000116370898167665,0.000518930318747297,0.0300246358056881,0.00308539976922034,24.9,2.55571907689404,120,0,2.68606758919524e-05,4.90200974272854e-06,NA,NA,NA,NA,NA,NA,826,207.588535328905,1566.33333333333,265.538655901128,197.176687569914,12.1930674443513,1.05439923462968,0.00731701808888028,3
"graph_community",0.7,"ASK-PC pooled union","support-kernel compression","beta=0.005","full",100,"mcmc_empirical_visited_supports",0.0663910703787142,0.00182026149179125,0.013143949129643,0.000680493550844094,0.0128183744358953,0.000617150239231931,0.485702225859585,0.0370295832699528,13.3769204030019,0.295192163274194,84.6666666666667,6.83942817622773,22.156621227335,3.25818082775352,1294.66666666667,30.601379780076,NA,NA,0.0769549023750546,0.000953513005144664,0.000657729718895363,0.00109241590304961,0.000398366426212677,0.00165000165441487,0.0195246917744727,0.00178454937899269,24.9,2.55571907689404,0,0,0,0,2343.66666666667,3.2829526005987,2326.66666666667,5.92546294487706,1294.66666666667,30.601379780076,826,207.588535328905,1566.33333333333,265.538655901128,197.176687569914,12.1930674443513,1.05439923462968,0.00731701808888028,3
"graph_community",0.7,"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.005","full",100,"mcmc_empirical_visited_supports",0.0663910703787142,0.00182026149179125,0.013143949129643,0.000680493550844094,0.0128183744358953,0.000617150239231931,0.485702225859585,0.0370295832699528,13.3769204030019,0.295192163274194,84.6666666666667,6.83942817622773,22.156621227335,3.25818082775352,377.333333333333,13.5932990027358,NA,NA,0.0769549023750546,0.000953513005144664,0.000657729718895363,0.00109241590304961,0.000398366426212677,0.00165000165441487,0.010922213810142,0.00181147633264012,24.9,2.55571907689404,1,0,8.48789293248867e-08,2.65297992605827e-09,2343.66666666667,3.2829526005987,2326.66666666667,5.92546294487706,1294.66666666667,30.601379780076,826,207.588535328905,1566.33333333333,265.538655901128,197.176687569914,12.1930674443513,1.05439923462968,0.00731701808888028,3
"graph_community",0.7,"Fixed hard dictionary","fixed region dictionary","beta=0.005","full",100,"mcmc_empirical_visited_supports",0.185169025474465,0.0930105685077094,0.16125818140198,0.0813516864538122,0.168498484780048,0.0911116696389402,0.60137915965996,0.198454770666044,153.047330689196,42.7447857240039,33.3333333333333,7.88106027835793,6.42488842714945,2.64377852121717,49,0,NA,NA,0.957223141920001,0.171344978366247,0.00746171414947348,0.0043344972300438,-0.00414053644193994,0.00227344475773432,0.0603821061664596,0.0138012500270108,24.9,2.55571907689404,120,0,2.01398588261329e-05,8.81828306269209e-06,NA,NA,NA,NA,NA,NA,826,207.588535328905,1566.33333333333,265.538655901128,197.176687569914,12.1930674443513,1.05439923462968,0.00731701808888028,3
"graph_community",0.9,"Credible support set","credible support summary","coverage=0.9, beta=0.02","full",100,"mcmc_empirical_visited_supports",0.102425540503284,0.0003239920895629,0.426661212485652,0.000178703349621628,0.103682095006779,0.000190889131466583,0.00554779320412536,3.15316835111935e-06,30.0211802050875,0.225828844635322,93.6666666666667,2.72845092395748,74.8016577983673,12.928110537677,751.333333333333,114.665213169082,750.333333333333,114.665213169082,1.02280507178299,0.00483656795113334,0.00131193910868599,0.000658743086537032,-0.000907093131665036,0.000393338413551516,0.0232799441666241,0.0064686234222329,26.0766666666667,2.41925838039493,54.3333333333333,1.20185042515466,1.83462967114541e-06,1.1580219833279e-07,NA,NA,NA,NA,NA,NA,1228.33333333333,163.269034963087,2100.66666666667,189.320128647514,174.926332540067,7.44876871028743,1.03111151739593,0.00748628577765558,3
"graph_community",0.7,"Dilution-prior BMA","redundancy-aware prior","power=0.25 over visited supports","full",100,"mcmc_empirical_visited_supports",0.199711733120336,0.0189121010734665,0.464365202437912,0.0715246087897467,0.197928618930577,0.0185642108748763,NA,NA,296.666666666667,69.3645762939877,NA,NA,NA,NA,NA,NA,296.666666666667,69.3645762939877,NA,NA,0.00474568571351345,0.00154871767793336,-0.0033789196982521,0.00147401879635,NA,NA,24.9,2.55571907689404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,826,207.588535328905,1566.33333333333,265.538655901128,197.176687569914,12.1930674443513,1.05439923462968,0.00731701808888028,3
"graph_community",0.7,"DPP-prior BMA","redundancy-aware prior","power=0.5 over visited supports","full",100,"mcmc_empirical_visited_supports",0.225914539181945,0.013581938951364,0.497662356223159,0.0660912654164006,0.220877581525443,0.0161152112444724,NA,NA,287,67.0024875160119,NA,NA,NA,NA,NA,NA,287,67.0024875160119,NA,NA,0.00559573680064407,0.00259281545171668,-0.00226086146803062,0.00326739941834729,NA,NA,24.9,2.55571907689404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,826,207.588535328905,1566.33333333333,265.538655901128,197.176687569914,12.1930674443513,1.05439923462968,0.00731701808888028,3
"graph_community",0.7,"Top-M support atoms","atom truncation","M=96, beta=0.005","full",100,"mcmc_empirical_visited_supports",0.243751247438218,0.0367654401480982,0.532422588608343,0.0530646206249283,0.240349558501339,0.0389884223687926,0.0557334143862858,0.00853907449333154,81.6855492532331,6.92501043201083,94,3,25.2579987696192,4.54549346808697,97,0,96,0,0.937651204772285,0.0842905542740737,0.00488143232527823,0.00161878906571272,-0.00596276125886604,0.00219591539803702,0.00772487661485059,0.000194111909560302,24.9,2.55571907689404,33.6666666666667,0.666666666666667,1.80444296282722e-06,1.88474637737523e-07,NA,NA,NA,NA,NA,NA,826,207.588535328905,1566.33333333333,265.538655901128,197.176687569914,12.1930674443513,1.05439923462968,0.00731701808888028,3
"multi_representative",0.7,"Posterior clustering","posterior clustering","clusters=8, beta=0.005","full",100,"mcmc_empirical_visited_supports",0.0419554712275024,0.00179112131802429,0.00443316677070091,0.000454866128052815,0.00437311474900254,0.000420378139137169,0.801427959691274,0.0260656232048756,17.1776303705896,0.154039253137439,11.6666666666667,0.881917103688197,2.52348054931617,0.157376601606911,11.6666666666667,0.881917103688197,NA,NA,0.0893995551595862,0.000377225822817406,0.00173941005176285,0.000153245660182762,-0.00120326904045472,0.000202014747556989,0.0238091800297052,0.00538567551355266,19.7266666666668,3.01450567165581,120,0,1.35587145015335e-05,1.85587784390145e-06,NA,NA,NA,NA,NA,NA,743.666666666667,127.63271959459,1466,174.596678089819,167.362938128627,5.24002470015892,1.04318834753332,0.0133062875231701,3
"multi_representative",0.7,"ASK-PC pooled union","support-kernel compression","beta=0.005","full",100,"mcmc_empirical_visited_supports",0.0674961778192221,0.0018118607928799,0.0132714118139089,0.000969607880488866,0.0127832424086586,0.000825036467245742,0.513770654128494,0.0484874956288979,13.2878586189545,0.446679198834464,89.3333333333333,6.93621734889494,22.1148966192546,3.17661795870164,1287.66666666667,44.382178605582,NA,NA,0.0766340268968281,0.00139577468625875,0.00368998576519138,0.000826421672492124,-0.00260510505001569,0.000621890829734447,0.0173464592911054,0.000600608637794733,19.7266666666668,3.01450567165581,0,0,0,0,2335.33333333333,4.70224532655529,2317.33333333333,6.17341972581738,1287.66666666667,44.382178605582,743.666666666667,127.63271959459,1466,174.596678089819,167.362938128627,5.24002470015892,1.04318834753332,0.0133062875231701,3
"multi_representative",0.7,"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.005","full",100,"mcmc_empirical_visited_supports",0.0674961778192221,0.0018118607928799,0.0132714118139089,0.000969607880488866,0.0127832424086586,0.000825036467245742,0.513770654128494,0.0484874956288979,13.2878586189545,0.446679198834464,89.3333333333333,6.93621734889494,22.1148966192546,3.17661795870164,401.333333333333,24.6328597157898,NA,NA,0.0766340268968281,0.00139577468625875,0.00368998576519138,0.000826421672492124,-0.00260510505001569,0.000621890829734447,0.00927329209017094,0.000597586449510203,19.7266666666668,3.01450567165581,47.3333333333333,46.3333333333333,2.27562806390247e-07,1.31406382818033e-07,2335.33333333333,4.70224532655529,2317.33333333333,6.17341972581738,1287.66666666667,44.382178605582,743.666666666667,127.63271959459,1466,174.596678089819,167.362938128627,5.24002470015892,1.04318834753332,0.0133062875231701,3
"multi_representative",0.7,"Fixed hard dictionary","fixed region dictionary","beta=0.005","full",100,"mcmc_empirical_visited_supports",0.263300175091239,0.0740328325735364,0.222658672470298,0.0546530679418076,0.285684100071137,0.0332275945742268,0.547781606865411,0.168861555193943,140.648039399933,36.8879855778045,47.6666666666667,0.881917103688197,11.3724107288472,4.57889919024916,49,0,NA,NA,0.923787471511061,0.130594633419926,0.0130359256368181,0.0113076950323483,-0.009075476159402,0.00828860124732583,0.0452893732862693,0.00689701482116952,19.7266666666668,3.01450567165581,120,0,2.15114131251563e-05,9.83175834375346e-06,NA,NA,NA,NA,NA,NA,743.666666666667,127.63271959459,1466,174.596678089819,167.362938128627,5.24002470015892,1.04318834753332,0.0133062875231701,3
"multi_representative",0.7,"Credible support set","credible support summary","coverage=0.9, beta=0.02","full",100,"mcmc_empirical_visited_supports",0.103956626886115,0.000205402603786322,0.426618358275573,0.00119232481003243,0.105214692249717,0.000237523634712446,0.00562386968396478,5.56580371313391e-05,33.3618210538263,1.47011423546814,99,8.50490054811538,39.4024596018494,8.03993723478692,426,84.1843215806839,425,84.1843215806839,1.09022459242729,0.0302355726602104,0.00655124329573596,0.00178963496630283,-0.00469046174437141,0.00150151208048784,0.217492354726012,0.177158071561741,19.7266666666668,3.01450567165581,46.3333333333333,5.69600249687835,1.61241300296784e-06,2.60649314881931e-07,NA,NA,NA,NA,NA,NA,743.666666666667,127.63271959459,1466,174.596678089819,167.362938128627,5.24002470015892,1.04318834753332,0.0133062875231701,3
"multi_representative",0.7,"Dilution-prior BMA","redundancy-aware prior","power=0.25 over visited supports","full",100,"mcmc_empirical_visited_supports",0.196822690407765,0.00845526853954197,0.444252557156371,0.0660314589075454,0.183847910469641,0.0114621953702331,NA,NA,227.333333333333,19.6412264835416,NA,NA,NA,NA,NA,NA,227.333333333333,19.6412264835416,NA,NA,0.0111092922969892,0.00268517235728886,-0.00796632690030977,0.00240555835423526,NA,NA,19.7266666666668,3.01450567165581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,743.666666666667,127.63271959459,1466,174.596678089819,167.362938128627,5.24002470015892,1.04318834753332,0.0133062875231701,3
"multi_representative",0.9,"Top-M support atoms","atom truncation","M=96, beta=0.005","full",100,"mcmc_empirical_visited_supports",0.220032647270719,0.0977998217850528,0.477761191935687,0.147157825480506,0.225190869220638,0.10651184583815,0.0506373934143547,0.0231971170502319,70.5757538462157,21.5268419745545,93,4,17.8113980417891,7.82613825030195,97,0,96,0,0.827937899332732,0.254136660490594,0.00322792134732023,0.00316204005861451,-0.00498521607116578,0.0049299868516986,0.0066845925221695,0.000651378178508262,24.1433333333332,4.8260416261961,33.3333333333333,1.85592145427667,1.58519224833601e-06,3.88128560118889e-07,NA,NA,NA,NA,NA,NA,930.666666666667,611.948890385827,1618.66666666667,728.526442744378,181.983261133479,21.3655131037402,1.06475403616032,0.0134285413473858,3
"multi_representative",0.7,"DPP-prior BMA","redundancy-aware prior","power=0.5 over visited supports","full",100,"mcmc_empirical_visited_supports",0.221558996440122,0.00486465025996211,0.487102040663058,0.0640139744811961,0.202177338181595,0.00687890242339034,NA,NA,205.666666666667,19.6751394178316,NA,NA,NA,NA,NA,NA,205.666666666667,19.6751394178316,NA,NA,0.014799703765263,0.00268920532051371,-0.0106033629292857,0.00250998501484435,NA,NA,19.7266666666668,3.01450567165581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,743.666666666667,127.63271959459,1466,174.596678089819,167.362938128627,5.24002470015892,1.04318834753332,0.0133062875231701,3
"noisy_grouping",0.9,"Posterior clustering","posterior clustering","clusters=8, beta=0.005","full",100,"mcmc_empirical_visited_supports",0.0511017484865771,0.000735835361019162,0.00699382069814452,0.000505178314766437,0.00671645474534608,0.00043414390862707,0.700026071318001,0.028364729654278,16.4226064095679,0.17894637107665,14,1,3.89648840990841,0.424169991328109,14,1,NA,NA,0.0877596140495209,0.000673114356294602,0.000222141072661719,0.000338930421229956,-0.000136249838275537,0.000170919059046396,0.0261328483270767,0.00317444229115376,20.4099999999998,0.442417600614203,120,0,2.50640772414915e-05,8.62806244012456e-06,NA,NA,NA,NA,NA,NA,464,106.616133863501,1143.66666666667,153.836854419797,159.331219672953,11.3340580119535,1.05864819177561,0.016001014343833,3
"noisy_grouping",0.9,"ASK-PC pooled union","support-kernel compression","beta=0.005","full",100,"mcmc_empirical_visited_supports",0.0807790459207917,0.00147779609028185,0.019263393608931,0.000415112044530198,0.0175550100189123,0.000403890200096923,0.292657051707628,0.0215009336576516,10.37612824405,0.192764727164342,197.666666666667,59.9898139501847,85.7664163507167,23.4152652263107,1359.33333333333,33.2181342709738,NA,NA,0.0667880592168242,0.000525208910076072,-0.000127320543405289,0.00010982613852557,0.000134437127667327,0.00010182854939878,0.0263141514621867,0.00900584273698848,20.4099999999998,0.442417600614203,0,0,0,0,2345.66666666667,3.2829526005987,2327.66666666667,2.40370085030933,1359.33333333333,33.2181342709738,464,106.616133863501,1143.66666666667,153.836854419797,159.331219672953,11.3340580119535,1.05864819177561,0.016001014343833,3
"noisy_grouping",0.9,"ASK-PC pooled-pruned 99%","support-kernel compression","beta=0.005","full",100,"mcmc_empirical_visited_supports",0.0807790459207917,0.00147779609028185,0.019263393608931,0.000415112044530198,0.0175550100189123,0.000403890200096923,0.292657051707628,0.0215009336576516,10.37612824405,0.192764727164342,197.666666666667,59.9898139501847,85.7664163507167,23.4152652263107,440.333333333333,26.9093127208985,NA,NA,0.0667880592168242,0.000525208910076072,-0.000127320543405289,0.00010982613852557,0.000134437127667327,0.00010182854939878,0.00741074799382601,0.00126496632926613,20.4099999999998,0.442417600614203,47.3333333333333,46.3333333333333,2.66079678845621e-07,1.78670722723125e-07,2345.66666666667,3.2829526005987,2327.66666666667,2.40370085030933,1359.33333333333,33.2181342709738,464,106.616133863501,1143.66666666667,153.836854419797,159.331219672953,11.3340580119535,1.05864819177561,0.016001014343833,3
"noisy_grouping",0.7,"Fixed hard dictionary","fixed region dictionary","beta=0.005","full",100,"mcmc_empirical_visited_supports",0.153118034357266,0.0765735550975306,0.163963043827104,0.0820068740775355,0.108598332058512,0.0543560165697182,0.399006740050631,0.245789499195924,108.332878834846,53.4253450220515,47.6666666666667,0.881917103688197,17.5590301096857,7.71277784909476,49,0,NA,NA,0.741923147495268,0.224749922751464,0.000386214539300396,0.000214406309764119,-0.000380230611588169,0.000222001940087829,0.0556006236327513,0.0135742065842664,17.3700000000001,2.95523828706483,120,0,3.38762830813799e-05,1.68681676119325e-05,NA,NA,NA,NA,NA,NA,208.666666666667,71.3496865990158,801,105.659831534978,144.055369809969,4.60702838515577,1.07714776273292,0.0205432858933001,3
